timestamp,date,time,open,high,low,close,volume
2020-10-17 09:00:00,17/10/2020,09:00:00,2.1401,2.2425,2.11,2.2062,4136722.0
2020-10-18 09:00:00,18/10/2020,09:00:00,2.2069,2.2649,2.1804,2.2186,3907591.0
2020-10-19 09:00:00,19/10/2020,09:00:00,2.2167,2.2206,2.051,2.0578,4834438.0
2020-10-20 09:00:00,20/10/2020,09:00:00,2.0576,2.1083,1.8457,1.8905,6052367.0
2020-10-21 09:00:00,21/10/2020,09:00:00,1.8885,2.1098,1.8474,1.8933,10108189.0
2020-10-22 09:00:00,22/10/2020,09:00:00,1.8933,2.0905,1.8629,1.9619,6143069.0
2020-10-23 09:00:00,23/10/2020,09:00:00,1.962,1.9938,1.8502,1.9645,5454719.0
2020-10-24 09:00:00,24/10/2020,09:00:00,1.9666,1.9734,1.88,1.9196,4059055.0
2020-10-25 09:00:00,25/10/2020,09:00:00,1.9179,1.9281,1.7628,1.7937,5740317.0
2020-10-26 09:00:00,26/10/2020,09:00:00,1.7946,1.8723,1.6162,1.6786,6534261.0
2020-10-27 09:00:00,27/10/2020,09:00:00,1.6777,1.7542,1.5928,1.7135,7047936.0
2020-10-28 09:00:00,28/10/2020,09:00:00,1.7131,1.7287,1.4555,1.5196,10242140.0
2020-10-29 09:00:00,29/10/2020,09:00:00,1.5195,1.5773,1.4146,1.4325,6341465.0
2020-10-30 09:00:00,30/10/2020,09:00:00,1.4321,1.4677,1.3379,1.4378,7038014.0
2020-10-31 09:00:00,31/10/2020,09:00:00,1.4367,1.5501,1.4269,1.5472,5962596.0
2020-11-01 09:00:00,01/11/2020,09:00:00,1.5474,1.6465,1.5132,1.6076,5514776.0
2020-11-02 09:00:00,02/11/2020,09:00:00,1.6062,1.6426,1.4644,1.4741,5293427.0
2020-11-03 09:00:00,03/11/2020,09:00:00,1.4729,1.4857,1.4109,1.4131,5470217.0
2020-11-04 09:00:00,04/11/2020,09:00:00,1.4149,1.4166,1.2737,1.391,7471679.0
2020-11-05 09:00:00,05/11/2020,09:00:00,1.3912,1.489,1.302,1.4011,7267156.0
2020-11-06 09:00:00,06/11/2020,09:00:00,1.4015,1.9474,1.3954,1.8998,15848200.0
2020-11-07 09:00:00,07/11/2020,09:00:00,1.8978,2.5,1.8324,2.0283,36707735.0
2020-11-08 09:00:00,08/11/2020,09:00:00,2.0304,2.2868,1.965,2.1571,16913035.0
2020-11-09 09:00:00,09/11/2020,09:00:00,2.1571,2.2024,1.9517,2.0393,13460103.0
2020-11-10 09:00:00,10/11/2020,09:00:00,2.0417,2.3306,2.0088,2.2652,8961990.0
2020-11-11 09:00:00,11/11/2020,09:00:00,2.2659,2.3041,1.9674,2.003,7201587.0
2020-11-12 09:00:00,12/11/2020,09:00:00,2.0012,2.0618,1.8265,1.9083,6848757.0
2020-11-13 09:00:00,13/11/2020,09:00:00,1.9082,2.0821,1.9,2.0191,6925383.0
2020-11-14 09:00:00,14/11/2020,09:00:00,2.0182,2.0381,1.8749,1.92,6352416.0
2020-11-15 09:00:00,15/11/2020,09:00:00,1.9206,2.2252,1.9131,2.0431,11659509.0
2020-11-16 09:00:00,16/11/2020,09:00:00,2.0421,2.372,1.9859,2.268,11366459.0
2020-11-17 09:00:00,17/11/2020,09:00:00,2.2681,2.3431,2.1263,2.207,10271223.0
2020-11-18 09:00:00,18/11/2020,09:00:00,2.2041,2.2246,1.9977,2.1166,9500906.0
2020-11-19 09:00:00,19/11/2020,09:00:00,2.1151,2.1883,2.0125,2.0797,8017468.0
2020-11-20 09:00:00,20/11/2020,09:00:00,2.0802,2.2445,2.0515,2.1052,8621112.0
2020-11-21 09:00:00,21/11/2020,09:00:00,2.1079,2.5204,2.0313,2.3991,14596123.0
2020-11-22 09:00:00,22/11/2020,09:00:00,2.4013,2.4287,2.0302,2.1502,11135646.0
2020-11-23 09:00:00,23/11/2020,09:00:00,2.1488,2.3611,2.1045,2.2826,10403310.0
2020-11-24 09:00:00,24/11/2020,09:00:00,2.2839,2.484,2.1323,2.2894,15447405.0
2020-11-25 09:00:00,25/11/2020,09:00:00,2.2896,2.4856,2.1686,2.2673,16621443.0
2020-11-26 09:00:00,26/11/2020,09:00:00,2.2651,2.3097,1.712,1.9032,16134733.0
2020-11-27 09:00:00,27/11/2020,09:00:00,1.902,1.9621,1.7643,1.8558,8008055.0
2020-11-28 09:00:00,28/11/2020,09:00:00,1.8551,1.9382,1.7912,1.8821,6099812.0
2020-11-29 09:00:00,29/11/2020,09:00:00,1.8813,1.9418,1.8439,1.9093,5200776.0
2020-11-30 09:00:00,30/11/2020,09:00:00,1.9101,2.015,1.8979,1.959,6712193.0
2020-12-01 09:00:00,01/12/2020,09:00:00,1.9594,2.1334,1.9032,1.9695,9480633.0
2020-12-02 09:00:00,02/12/2020,09:00:00,1.9681,2.2047,1.9252,2.116,8791836.0
2020-12-03 09:00:00,03/12/2020,09:00:00,2.1152,2.2223,2.0705,2.0989,8707406.0
2020-12-04 09:00:00,04/12/2020,09:00:00,2.0985,2.1129,1.8256,1.8463,7048518.0
2020-12-05 09:00:00,05/12/2020,09:00:00,1.8449,1.9816,1.8158,1.9776,5294952.0
2020-12-06 09:00:00,06/12/2020,09:00:00,1.9776,1.9899,1.8097,1.8515,5088610.0
2020-12-07 09:00:00,07/12/2020,09:00:00,1.8517,1.9006,1.81,1.8299,4623318.0
2020-12-08 09:00:00,08/12/2020,09:00:00,1.8287,1.8322,1.6271,1.6617,7473779.0
2020-12-09 09:00:00,09/12/2020,09:00:00,1.6617,1.6724,1.4969,1.6553,7017013.0
2020-12-10 09:00:00,10/12/2020,09:00:00,1.6552,1.6644,1.5409,1.5686,6532250.0
2020-12-11 09:00:00,11/12/2020,09:00:00,1.5686,1.5778,1.4316,1.4406,6597970.0
2020-12-12 09:00:00,12/12/2020,09:00:00,1.4394,1.5337,1.4362,1.4886,6893494.0
2020-12-13 09:00:00,13/12/2020,09:00:00,1.4879,1.65,1.454,1.5636,9298357.0
2020-12-14 09:00:00,14/12/2020,09:00:00,1.564,1.6244,1.5198,1.5936,7690894.0
2020-12-15 09:00:00,15/12/2020,09:00:00,1.5927,1.8012,1.5858,1.7534,15330195.0
2020-12-16 09:00:00,16/12/2020,09:00:00,1.7534,1.7986,1.6,1.7869,13742356.0
2020-12-17 09:00:00,17/12/2020,09:00:00,1.7865,1.8167,1.6382,1.6808,11618488.0
2020-12-18 09:00:00,18/12/2020,09:00:00,1.68,1.7104,1.6317,1.7003,6732255.0
2020-12-19 09:00:00,19/12/2020,09:00:00,1.701,1.7695,1.6562,1.6683,7757307.0
2020-12-20 09:00:00,20/12/2020,09:00:00,1.6673,1.6888,1.5178,1.5638,5851925.0
2020-12-21 09:00:00,21/12/2020,09:00:00,1.565,1.6198,1.4916,1.5347,5739528.0
2020-12-22 09:00:00,22/12/2020,09:00:00,1.5353,1.5722,1.4696,1.4905,7486927.0
2020-12-23 09:00:00,23/12/2020,09:00:00,1.4903,1.5133,1.069,1.1975,14168317.0
2020-12-24 09:00:00,24/12/2020,09:00:00,1.1975,1.3859,1.1574,1.3638,11726008.0
2020-12-25 09:00:00,25/12/2020,09:00:00,1.3654,1.4514,1.3444,1.4448,8592846.0
2020-12-26 09:00:00,26/12/2020,09:00:00,1.4447,1.4463,1.3069,1.3215,6201784.0
2020-12-27 09:00:00,27/12/2020,09:00:00,1.3209,1.4148,1.2544,1.3023,11065395.0
2020-12-28 09:00:00,28/12/2020,09:00:00,1.3027,1.5222,1.2857,1.5169,10974507.0
2020-12-29 09:00:00,29/12/2020,09:00:00,1.5165,1.7293,1.4321,1.666,24077341.0
2020-12-30 09:00:00,30/12/2020,09:00:00,1.6661,1.686,1.5152,1.5304,10523673.0
2020-12-31 09:00:00,31/12/2020,09:00:00,1.5319,1.5445,1.412,1.504,10697724.0
2021-01-01 09:00:00,01/01/2021,09:00:00,1.5043,1.8498,1.489,1.8382,18813441.0
2021-01-02 09:00:00,02/01/2021,09:00:00,1.8377,1.9951,1.7091,1.7976,22401546.0
2021-01-03 09:00:00,03/01/2021,09:00:00,1.7978,2.3589,1.7956,2.1767,37747051.0
2021-01-04 09:00:00,04/01/2021,09:00:00,2.1783,2.49,1.8182,2.4832,35966844.0
2021-01-05 09:00:00,05/01/2021,09:00:00,2.4803,2.5012,2.0527,2.1355,32981577.0
2021-01-06 09:00:00,06/01/2021,09:00:00,2.1385,2.1578,1.6734,1.8753,52219666.0
2021-01-07 09:00:00,07/01/2021,09:00:00,1.8722,2.733,1.8123,2.3651,105584282.0
2021-01-08 09:00:00,08/01/2021,09:00:00,2.365,3.848,2.18,3.222,70113587.0
2021-01-09 09:00:00,09/01/2021,09:00:00,3.222,3.7,2.91,3.3776,33590496.0
2021-01-10 09:00:00,10/01/2021,09:00:00,3.3757,3.764,3.15,3.446,21972369.0
2021-01-11 09:00:00,11/01/2021,09:00:00,3.4453,3.5257,2.5833,3.0988,24846781.0
2021-01-12 09:00:00,12/01/2021,09:00:00,3.0962,3.904,3.0477,3.6276,22851398.0
2021-01-13 09:00:00,13/01/2021,09:00:00,3.629,3.6398,3.2472,3.5291,16335568.0
2021-01-14 09:00:00,14/01/2021,09:00:00,3.5281,3.5674,3.1741,3.2949,16853114.0
2021-01-15 09:00:00,15/01/2021,09:00:00,3.2949,3.4438,2.9739,3.2464,12931161.0
2021-01-16 09:00:00,16/01/2021,09:00:00,3.2456,3.7157,3.1236,3.4259,20722357.0
2021-01-17 09:00:00,17/01/2021,09:00:00,3.4249,4.02,3.3001,3.8328,24880543.0
2021-01-18 09:00:00,18/01/2021,09:00:00,3.8344,4.1747,3.5942,3.7933,19257223.0
2021-01-19 09:00:00,19/01/2021,09:00:00,3.7944,4.0443,3.5953,3.6276,12280022.0
2021-01-20 09:00:00,20/01/2021,09:00:00,3.6279,3.7353,3.324,3.7133,12201173.0
2021-01-21 09:00:00,21/01/2021,09:00:00,3.7153,3.7397,2.9451,2.9793,13284877.0
2021-01-22 09:00:00,22/01/2021,09:00:00,2.9813,3.4972,2.5122,3.3286,20353781.0
2021-01-23 09:00:00,23/01/2021,09:00:00,3.3282,3.6038,3.3,3.5094,9414060.0
2021-01-24 09:00:00,24/01/2021,09:00:00,3.5082,3.7928,3.4802,3.6369,8471238.0
2021-01-25 09:00:00,25/01/2021,09:00:00,3.6353,3.9867,3.44,3.7044,14159404.0
2021-01-26 09:00:00,26/01/2021,09:00:00,3.7024,4.1073,3.6623,4.0447,19930228.0
2021-01-27 09:00:00,27/01/2021,09:00:00,4.043,4.0447,3.5183,3.6727,9791075.0
2021-01-28 09:00:00,28/01/2021,09:00:00,3.6726,3.9681,3.593,3.8139,7597138.0
2021-01-29 09:00:00,29/01/2021,09:00:00,3.8115,3.9314,3.634,3.8409,7962280.0
2021-01-30 09:00:00,30/01/2021,09:00:00,3.8429,4.3318,3.7673,4.2462,10740707.0
2021-01-31 09:00:00,31/01/2021,09:00:00,4.244,4.8252,4.162,4.2628,12918581.0
2021-02-01 09:00:00,01/02/2021,09:00:00,4.2644,4.6234,4.0986,4.6234,7266915.0
2021-02-02 09:00:00,02/02/2021,09:00:00,4.62,5.4668,4.4649,5.2529,13922582.0
2021-02-03 09:00:00,03/02/2021,09:00:00,5.2539,5.8225,5.0671,5.7373,9346987.0
2021-02-04 09:00:00,04/02/2021,09:00:00,5.7373,6.575,5.5813,6.4358,10586958.0
2021-02-05 09:00:00,05/02/2021,09:00:00,6.436,7.18,6.4272,6.7101,10453016.0
2021-02-06 09:00:00,06/02/2021,09:00:00,6.7116,6.836,5.7099,6.1325,10613182.0
2021-02-07 09:00:00,07/02/2021,09:00:00,6.132,6.8786,5.75,6.7037,11675131.0
2021-02-08 09:00:00,08/02/2021,09:00:00,6.7028,8.1208,6.4777,7.8917,12187065.0
2021-02-09 09:00:00,09/02/2021,09:00:00,7.8934,8.5344,7.5675,7.8335,9061306.0
2021-02-10 09:00:00,10/02/2021,09:00:00,7.8412,9.1231,7.2879,9.1102,11384565.0
2021-02-11 09:00:00,11/02/2021,09:00:00,9.1098,9.7175,8.7443,9.2215,10532781.0
2021-02-12 09:00:00,12/02/2021,09:00:00,9.2197,9.9378,9.0606,9.2344,8241627.0
2021-02-13 09:00:00,13/02/2021,09:00:00,9.2368,9.5429,8.6801,8.7627,8675628.0
2021-02-14 09:00:00,14/02/2021,09:00:00,8.7649,9.2621,8.5616,8.7306,7992002.0
2021-02-15 09:00:00,15/02/2021,09:00:00,8.7303,9.3467,7.587,8.8695,9052035.0
2021-02-16 09:00:00,16/02/2021,09:00:00,8.8762,9.0065,7.9613,8.3036,7326365.0
2021-02-17 09:00:00,17/02/2021,09:00:00,8.305,8.4721,7.5269,8.2533,8141648.0
2021-02-18 09:00:00,18/02/2021,09:00:00,8.2552,9.3339,8.2552,8.9956,7757334.0
2021-02-19 09:00:00,19/02/2021,09:00:00,8.9976,11.8291,8.5499,11.5096,14030591.0
2021-02-20 09:00:00,20/02/2021,09:00:00,11.514,11.794,9.8169,9.9965,10415260.0
2021-02-21 09:00:00,21/02/2021,09:00:00,9.9957,11.6436,9.8439,11.0851,9997068.0
2021-02-22 09:00:00,22/02/2021,09:00:00,11.0805,14.555,8.88,14.3413,23095577.0
2021-02-23 09:00:00,23/02/2021,09:00:00,14.3421,15.8026,11.3999,15.2413,35375505.0
2021-02-24 09:00:00,24/02/2021,09:00:00,15.2513,18.1794,14.8462,17.2227,17533006.0
2021-02-25 09:00:00,25/02/2021,09:00:00,17.2343,17.7942,13.718,13.8484,13553123.0
2021-02-26 09:00:00,26/02/2021,09:00:00,13.8489,15.5453,13.1035,13.5941,14325250.0
2021-02-27 09:00:00,27/02/2021,09:00:00,13.599,14.8596,12.9893,13.19,11015216.0
2021-02-28 09:00:00,28/02/2021,09:00:00,13.1862,13.78,11.4245,13.1072,13172276.0
2021-03-01 09:00:00,01/03/2021,09:00:00,13.0973,15.5512,13.0287,15.0036,10624143.0
2021-03-02 09:00:00,02/03/2021,09:00:00,15.0005,15.2846,13.42,13.9565,8405922.0
2021-03-03 09:00:00,03/03/2021,09:00:00,13.9628,14.7641,13.7627,14.0941,8283702.0
2021-03-04 09:00:00,04/03/2021,09:00:00,14.0915,14.2854,12.7583,13.0784,7098703.0
2021-03-05 09:00:00,05/03/2021,09:00:00,13.0804,13.1057,12.1419,12.5659,6246948.0
2021-03-06 09:00:00,06/03/2021,09:00:00,12.5576,13.3026,11.8944,13.0512,6367349.0
2021-03-07 09:00:00,07/03/2021,09:00:00,13.0586,14.0407,12.73,13.845,6983603.0
2021-03-08 09:00:00,08/03/2021,09:00:00,13.8493,13.9463,13.1,13.6344,6024217.0
2021-03-09 09:00:00,09/03/2021,09:00:00,13.6346,15.0332,13.3359,14.9102,7237374.0
2021-03-10 09:00:00,10/03/2021,09:00:00,14.9155,15.249,14.055,14.2333,7702664.0
2021-03-11 09:00:00,11/03/2021,09:00:00,14.2371,16.3334,13.6708,16.0763,10042978.0
2021-03-12 09:00:00,12/03/2021,09:00:00,16.0798,16.5288,14.0713,14.5742,9227235.0
2021-03-13 09:00:00,13/03/2021,09:00:00,14.5796,15.4449,13.9093,15.3216,7560873.0
2021-03-14 09:00:00,14/03/2021,09:00:00,15.3267,15.4014,14.3662,14.4642,6264959.0
2021-03-15 09:00:00,15/03/2021,09:00:00,14.468,14.8548,13.6121,14.184,6842673.0
2021-03-16 09:00:00,16/03/2021,09:00:00,14.1823,14.3216,13.2504,13.6639,6764146.0
2021-03-17 09:00:00,17/03/2021,09:00:00,13.6656,14.3129,13.0263,14.2288,6940124.0
2021-03-18 09:00:00,18/03/2021,09:00:00,14.2327,14.78,13.9803,14.2183,6142480.0
2021-03-19 09:00:00,19/03/2021,09:00:00,14.2142,14.4937,13.84,14.1535,5306402.0
2021-03-20 09:00:00,20/03/2021,09:00:00,14.1579,14.9722,14.0978,14.1892,5604771.0
2021-03-21 09:00:00,21/03/2021,09:00:00,14.1859,14.3876,13.634,14.3395,5895698.0
2021-03-22 09:00:00,22/03/2021,09:00:00,14.3346,16.612,14.1739,14.7957,13944627.0
2021-03-23 09:00:00,23/03/2021,09:00:00,14.8014,15.2136,14.0464,14.142,7638553.0
2021-03-24 09:00:00,24/03/2021,09:00:00,14.1468,15.3607,13.5712,13.5875,7704282.0
2021-03-25 09:00:00,25/03/2021,09:00:00,13.5827,13.7016,12.5356,12.9776,8414030.0
2021-03-26 09:00:00,26/03/2021,09:00:00,12.9801,14.7999,12.35,14.7725,9559593.0
2021-03-27 09:00:00,27/03/2021,09:00:00,14.7724,16.8346,14.7201,16.4803,11072721.0
2021-03-28 09:00:00,28/03/2021,09:00:00,16.4774,19.413,16.3408,18.1022,15997022.0
2021-03-29 09:00:00,29/03/2021,09:00:00,18.1022,19.047,17.6614,18.9811,9607545.0
2021-03-30 09:00:00,30/03/2021,09:00:00,18.9847,20.9191,18.9662,19.0933,10133956.0
2021-03-31 09:00:00,31/03/2021,09:00:00,19.0923,19.8747,18.0105,19.4044,8685490.0
2021-04-01 09:00:00,01/04/2021,09:00:00,19.4048,20.4105,18.7493,19.0497,5780647.0
2021-04-02 09:00:00,02/04/2021,09:00:00,19.0497,19.8812,18.5557,19.8353,4648128.0
2021-04-03 09:00:00,03/04/2021,09:00:00,19.8292,23.866,19.8025,22.4904,13481119.0
2021-04-04 09:00:00,04/04/2021,09:00:00,22.4916,25.5801,21.9685,23.7879,10647138.0
2021-04-05 09:00:00,05/04/2021,09:00:00,23.7908,24.7662,22.8012,23.018,7207157.0
2021-04-06 09:00:00,06/04/2021,09:00:00,23.0191,25.359,21.6509,25.0987,8941838.0
2021-04-07 09:00:00,07/04/2021,09:00:00,25.1125,27.5648,22.8753,26.5699,16231781.0
2021-04-08 09:00:00,08/04/2021,09:00:00,26.5629,28.0273,25.6202,26.9589,9886841.0
2021-04-09 09:00:00,09/04/2021,09:00:00,26.9531,29.1026,26.7555,27.6623,8043738.0
2021-04-10 09:00:00,10/04/2021,09:00:00,27.662,28.2954,26.0016,26.8349,6482835.0
2021-04-11 09:00:00,11/04/2021,09:00:00,26.8371,28.6872,25.5402,27.9493,6392971.0
2021-04-12 09:00:00,12/04/2021,09:00:00,27.9538,29.9394,26.851,28.585,7548934.0
2021-04-13 09:00:00,13/04/2021,09:00:00,28.5847,28.8639,26.4022,27.5083,6326847.0
2021-04-14 09:00:00,14/04/2021,09:00:00,27.5073,27.6151,24.5888,26.4194,8359229.0
2021-04-15 09:00:00,15/04/2021,09:00:00,26.4313,28.2938,25.5516,27.7857,6805634.0
2021-04-16 09:00:00,16/04/2021,09:00:00,27.7881,28.2903,24.9098,25.3449,7217962.0
2021-04-17 09:00:00,17/04/2021,09:00:00,25.344,26.8387,24.8,24.8423,6771477.0
2021-04-18 09:00:00,18/04/2021,09:00:00,24.859,32.9957,18.8868,32.3492,22782222.0
2021-04-19 09:00:00,19/04/2021,09:00:00,32.3739,36.0711,29.9007,31.5856,19779493.0
2021-04-20 09:00:00,20/04/2021,09:00:00,31.6106,32.7206,28.8,31.7022,13350389.0
2021-04-21 09:00:00,21/04/2021,09:00:00,31.7328,35.1789,30.1356,32.6637,12459087.0
2021-04-22 09:00:00,22/04/2021,09:00:00,32.6453,40.8878,31.554,38.9341,21522070.0
2021-04-23 09:00:00,23/04/2021,09:00:00,38.9302,41.5553,31.4618,37.3702,22844271.0
2021-04-24 09:00:00,24/04/2021,09:00:00,37.3417,43.64,34.6447,40.8663,16754195.0
2021-04-25 09:00:00,25/04/2021,09:00:00,40.8604,48.56,40.4248,47.3823,19686960.0
2021-04-26 09:00:00,26/04/2021,09:00:00,47.374,48.542,43.3079,43.9698,13833593.0
2021-04-27 09:00:00,27/04/2021,09:00:00,43.9778,46.6309,42.567,43.2296,10375537.0
2021-04-28 09:00:00,28/04/2021,09:00:00,43.2311,46.988,40.65,44.8884,12220284.0
2021-04-29 09:00:00,29/04/2021,09:00:00,44.9065,46.1999,40.89,42.4925,9494837.0
2021-04-30 09:00:00,30/04/2021,09:00:00,42.4925,44.337,41.2731,42.8771,6450482.0
2021-05-01 09:00:00,01/05/2021,09:00:00,42.8771,50.0,42.1103,49.7035,10657005.0
2021-05-02 09:00:00,02/05/2021,09:00:00,49.7126,50.1542,46.0047,46.9593,8864773.0
2021-05-03 09:00:00,03/05/2021,09:00:00,46.9537,49.1178,44.8,46.0232,7884670.0
2021-05-04 09:00:00,04/05/2021,09:00:00,46.0226,47.8893,42.2502,42.6551,9323174.0
2021-05-05 09:00:00,05/05/2021,09:00:00,42.6666,46.0824,42.3507,45.0381,6524530.0
2021-05-06 09:00:00,06/05/2021,09:00:00,45.0381,45.0731,42.5475,43.5641,5484122.0
2021-05-07 09:00:00,07/05/2021,09:00:00,43.5628,46.2986,41.465,43.2345,7708426.0
2021-05-08 09:00:00,08/05/2021,09:00:00,43.2335,46.7,42.3702,45.7022,6582638.0
2021-05-09 09:00:00,09/05/2021,09:00:00,45.7108,47.1986,42.6106,44.3591,6989241.0
2021-05-10 09:00:00,10/05/2021,09:00:00,44.3585,45.9866,38.2509,42.8909,6748573.0
2021-05-11 09:00:00,11/05/2021,09:00:00,42.8901,45.184,39.732,44.624,6247896.0
2021-05-12 09:00:00,12/05/2021,09:00:00,44.616,49.201,42.0,43.484,12350550.0
2021-05-13 09:00:00,13/05/2021,09:00:00,43.564,45.49,37.431,41.052,11761987.0
2021-05-14 09:00:00,14/05/2021,09:00:00,41.053,44.969,39.856,42.741,6663570.0
2021-05-15 09:00:00,15/05/2021,09:00:00,42.735,45.589,39.398,43.53,6765236.0
2021-05-16 09:00:00,16/05/2021,09:00:00,43.517,52.583,41.859,46.866,17511515.0
2021-05-17 09:00:00,17/05/2021,09:00:00,46.87,52.026,43.1,46.74,19506277.0
2021-05-18 09:00:00,18/05/2021,09:00:00,46.752,58.583,46.041,55.95,16401065.0
2021-05-19 09:00:00,19/05/2021,09:00:00,55.968,57.615,25.228,34.952,22469448.0
2021-05-20 09:00:00,20/05/2021,09:00:00,34.959,52.216,32.159,44.431,20738815.0
2021-05-21 09:00:00,21/05/2021,09:00:00,44.426,47.755,33.691,38.921,15997951.0
2021-05-22 09:00:00,22/05/2021,09:00:00,38.931,40.0,31.123,31.225,12345674.0
2021-05-23 09:00:00,23/05/2021,09:00:00,31.223,32.393,19.127,24.517,39076209.0
2021-05-24 09:00:00,24/05/2021,09:00:00,24.5,32.199,24.499,31.417,20445803.0
2021-05-25 09:00:00,25/05/2021,09:00:00,31.433,33.2,25.939,30.007,16986371.0
2021-05-26 09:00:00,26/05/2021,09:00:00,30.003,37.29,28.787,35.42,13273303.0
2021-05-27 09:00:00,27/05/2021,09:00:00,35.419,35.628,31.01,33.779,9777355.0
2021-05-28 09:00:00,28/05/2021,09:00:00,33.779,34.561,27.965,28.993,10942059.0
2021-05-29 09:00:00,29/05/2021,09:00:00,29.002,30.065,25.704,27.38,8798092.0
2021-05-30 09:00:00,30/05/2021,09:00:00,27.368,29.759,25.618,28.59,8808295.0
2021-05-31 09:00:00,31/05/2021,09:00:00,28.582,33.017,27.513,32.749,11211492.0
2021-06-01 09:00:00,01/06/2021,09:00:00,32.749,33.33,29.8,30.955,10103008.0
2021-06-02 09:00:00,02/06/2021,09:00:00,30.942,35.0,30.4,33.994,8588698.0
2021-06-03 09:00:00,03/06/2021,09:00:00,33.988,41.356,33.713,39.627,15939033.0
2021-06-04 09:00:00,04/06/2021,09:00:00,39.646,39.746,34.225,37.37,16417194.0
2021-06-05 09:00:00,05/06/2021,09:00:00,37.365,42.786,36.995,39.658,19822425.0
2021-06-06 09:00:00,06/06/2021,09:00:00,39.649,43.47,38.932,42.199,15554422.0
2021-06-07 09:00:00,07/06/2021,09:00:00,42.201,44.193,37.926,38.247,18770255.0
2021-06-08 09:00:00,08/06/2021,09:00:00,38.248,42.558,33.55,41.229,30746611.0
2021-06-09 09:00:00,09/06/2021,09:00:00,41.252,44.018,39.26,42.024,25497367.0
2021-06-10 09:00:00,10/06/2021,09:00:00,42.034,43.0,39.434,41.09,14043018.0
2021-06-11 09:00:00,11/06/2021,09:00:00,41.09,41.361,35.11,36.162,13452433.0
2021-06-12 09:00:00,12/06/2021,09:00:00,36.157,37.615,34.18,36.474,14599558.0
2021-06-13 09:00:00,13/06/2021,09:00:00,36.459,39.422,34.708,38.708,11508188.0
